Time (sec),Ti575 Flash Thickness,Ti64 Flash Thickness,,Time (sec),Oscillation stroke 
,,,,0.362,-0.00283
,,,,0.363,0.004474
,,,,0.364,0.002572
,,,,0.365,0.000443
,,,,0.366,-0.00104
,,,,0.367,-0.00727
,,,,0.368,0.004768
,,,,0.369,0.002502
,,,,0.37,0.00051
,,,,0.371,-0.00092
,,,,0.372,-0.00052
,,,,0.373,0.008569
,,,,0.374,0.001835
,,,,0.375,-0.0076
,,,,0.376,-0.0019
,,,,0.377,0.001062
,,,,0.378,-0.00654
,,,,0.379,-0.00668
,,,,0.38,0.000593
,,,,0.381,0.006226
,,,,0.382,-0.01659
,,,,0.383,-0.00073
,,,,0.384,-0.0017
,,,,0.385,0.003581
,,,,0.386,0.006846
,,,,0.387,-0.00446
,,,,0.388,0.003221
,,,,0.389,0.001873
,,,,0.39,-0.00875
,,,,0.391,-0.00969
,,,,0.392,0.005685
,,,,0.393,-0.00765
,,,,0.394,-0.01016
,,,,0.395,0.006136
,,,,0.396,0.006298
,,,,0.397,0.006084
,,,,0.398,0.001682
,,,,0.399,0.002514
,,,,0.4,0.008047
,,,,0.401,-0.00564
,,,,0.402,-0.0073
,,,,0.403,0.002481
,,,,0.404,0.003542
,,,,0.405,-0.00457
,,,,0.406,-0.0068
,,,,0.407,-0.00456
,,,,0.408,0.004471
,,,,0.409,-0.00481
,,,,0.41,-0.00575
,,,,0.411,0.009308
,,,,0.412,0.000962
,,,,0.413,-0.00277
,,,,0.414,-0.00205
,,,,0.415,0.004084
,,,,0.416,0.001127
,,,,0.417,-0.00804
,,,,0.418,-0.0028
,,,,0.419,0.001036
,,,,0.42,-0.00219
,,,,0.421,-0.00406
,,,,0.422,0.00024
,,,,0.423,0.009269
,,,,0.424,0.001304
,,,,0.425,-0.00781
,,,,0.426,0.002161
,,,,0.427,0.002074
,,,,0.428,-0.00345
,,,,0.429,-0.01439
,,,,0.43,-0.00371
,,,,0.431,0.008405
,,,,0.432,0.004395
,,,,0.433,-0.00467
,,,,0.434,-0.0091
,,,,0.435,0.000951
,,,,0.436,-0.00097
,,,,0.437,-0.01156
,,,,0.438,0.003905
,,,,0.439,0.009098
,,,,0.44,-0.00327
,,,,0.441,0.000284
,,,,0.442,-0.0036
,,,,0.443,0.001477
,,,,0.444,-0.00233
,,,,0.445,-0.00797
,,,,0.446,-0.00182
,,,,0.447,-0.00312
,,,,0.448,-0.00579
,,,,0.449,-0.00498
,,,,0.45,-0.01007
,,,,0.451,-0.01433
,,,,0.452,-0.02689
,,,,0.453,-0.0263
,,,,0.454,-0.01929
,,,,0.455,-0.02475
,,,,0.456,-0.01967
,,,,0.457,-0.02224
,,,,0.458,-0.00361
,,,,0.459,0.006353
,,,,0.46,0.002653
,,,,0.461,0.020182
,,,,0.462,0.034264
,,,,0.463,0.039983
,,,,0.464,0.048538
,,,,0.465,0.052242
,,,,0.466,0.056302
,,,,0.467,0.037114
,,,,0.468,0.016598
,,,,0.469,0.017969
,,,,0.47,-0.00499
,,,,0.471,-0.0304
,,,,0.472,-0.07634
,,,,0.473,-0.10854
,,,,0.474,-0.14454
,,,,0.475,-0.19088
,,,,0.476,-0.22265
,,,,0.477,-0.21836
,,,,0.478,-0.2
,,,,0.479,-0.16926
,,,,0.48,-0.12954
,,,,0.481,-0.06393
,,,,0.482,0.014051
,,,,0.483,0.090283
,,,,0.484,0.184042
,,,,0.485,0.261056
,,,,0.486,0.322289
,,,,0.487,0.359643
,,,,0.488,0.371995
,,,,0.489,0.341585
,,,,0.49,0.291595
,,,,0.491,0.218674
,,,,0.492,0.114176
,,,,0.493,-0.00417
,,,,0.494,-0.14941
,,,,0.495,-0.28489
,,,,0.496,-0.40615
,,,,0.497,-0.48788
,,,,0.498,-0.5416
,,,,0.499,-0.54452
,,,,0.5,-0.48065
,,,,0.501,-0.39413
,,,,0.502,-0.27741
,,,,0.503,-0.10328
,,,,0.504,0.082949
,,,,0.505,0.273899
,,,,0.506,0.454729
,,,,0.507,0.640706
,,,,0.508,0.783364
,,,,0.509,0.861062
,,,,0.51,0.860419
,,,,0.511,0.80284
,,,,0.512,0.713385
,,,,0.513,0.561254
,,,,0.514,0.349722
,,,,0.515,0.120334
,,,,0.516,-0.1249
,,,,0.517,-0.36608
,,,,0.518,-0.57824
,,,,0.519,-0.73988
,,,,0.52,-0.83713
,,,,0.521,-0.86557
,,,,0.522,-0.81575
,,,,0.523,-0.69165
,,,,0.524,-0.54268
,,,,0.525,-0.34728
,,,,0.526,-0.1065
,,,,0.527,0.146691
,,,,0.528,0.382953
,,,,0.529,0.605761
,,,,0.53,0.775435
,,,,0.531,0.903146
,,,,0.532,0.971021
,,,,0.533,0.938511
,,,,0.534,0.853451
,,,,0.535,0.737308
,,,,0.536,0.573003
,,,,0.537,0.353952
,,,,0.538,0.114605
,,,,0.539,-0.17012
,,,,0.54,-0.44223
,,,,0.541,-0.6711
,,,,0.542,-0.8556
,,,,0.543,-0.97813
,,,,0.544,-1.01301
,,,,0.545,-0.9484
,,,,0.546,-0.82486
,,,,0.547,-0.65603
,,,,0.548,-0.4343
,,,,0.549,-0.16184
,,,,0.55,0.144174
,,,,0.551,0.438055
,,,,0.552,0.693292
,,,,0.553,0.892161
,,,,0.554,1.053116
,,,,0.555,1.123302
,,,,0.556,1.100027
,,,,0.557,0.992618
,,,,0.558,0.833481
,,,,0.559,0.622333
,,,,0.56,0.300866
,,,,0.561,-0.03032
,,,,0.562,-0.38079
,,,,0.563,-0.68859
,,,,0.564,-0.96676
,,,,0.565,-1.18698
,,,,0.566,-1.27616
,,,,0.567,-1.25061
,,,,0.568,-1.13931
,,,,0.569,-0.94327
,,,,0.57,-0.66372
,,,,0.571,-0.33513
,,,,0.572,0.043636
,,,,0.573,0.399515
,,,,0.574,0.763145
,,,,0.575,1.028782
,,,,0.576,1.238225
,,,,0.577,1.368972
,,,,0.578,1.391375
,,,,0.579,1.25925
,,,,0.58,1.070091
,,,,0.581,0.819083
,,,,0.582,0.471145
,,,,0.583,0.071455
,,,,0.584,-0.35681
,,,,0.585,-0.73821
,,,,0.586,-1.07859
,,,,0.587,-1.34103
,,,,0.588,-1.48305
,,,,0.589,-1.49074
,,,,0.59,-1.38476
,,,,0.591,-1.1882
,,,,0.592,-0.89175
,,,,0.593,-0.53461
,,,,0.594,-0.12339
,,,,0.595,0.272525
,,,,0.596,0.674995
,,,,0.597,1.020386
,,,,0.598,1.269287
,,,,0.599,1.434921
,,,,0.6,1.511029
,,,,0.601,1.428671
,,,,0.602,1.262253
,,,,0.603,1.015057
,,,,0.604,0.679971
,,,,0.605,0.273749
,,,,0.606,-0.183
,,,,0.607,-0.64005
,,,,0.608,-1.04173
,,,,0.609,-1.39807
,,,,0.61,-1.63519
,,,,0.611,-1.71164
,,,,0.612,-1.65632
,,,,0.613,-1.46606
,,,,0.614,-1.17566
,,,,0.615,-0.78627
,,,,0.616,-0.34916
,,,,0.617,0.151793
,,,,0.618,0.642723
,,,,0.619,1.041493
,,,,0.62,1.40244
,,,,0.621,1.664284
,,,,0.622,1.772455
,,,,0.623,1.732455
,,,,0.624,1.562351
,,,,0.625,1.292181
,,,,0.626,0.91738
,,,,0.627,0.420591
,,,,0.628,-0.09928
,,,,0.629,-0.64389
,,,,0.63,-1.13586
,,,,0.631,-1.54887
,,,,0.632,-1.85588
,,,,0.633,-1.98377
,,,,0.634,-1.9325
,,,,0.635,-1.73318
,,,,0.636,-1.39565
,,,,0.637,-0.97384
,,,,0.638,-0.48638
,,,,0.639,0.066838
,,,,0.64,0.606017
,,,,0.641,1.069341
,,,,0.642,1.473731
,,,,0.643,1.724439
,,,,0.644,1.865965
,,,,0.645,1.84681
,,,,0.646,1.675883
,,,,0.647,1.436496
,,,,0.648,1.05401
,,,,0.649,0.565751
,,,,0.65,0.024186
,,,,0.651,-0.52897
,,,,0.652,-1.05039
,,,,0.653,-1.49447
,,,,0.654,-1.86563
,,,,0.655,-2.05689
,,,,0.656,-2.05712
,,,,0.657,-1.90835
,,,,0.658,-1.60504
,,,,0.659,-1.20342
,,,,0.66,-0.70376
,,,,0.661,-0.16724
,,,,0.662,0.387181
,,,,0.663,0.915731
,,,,0.664,1.37522
,,,,0.665,1.682606
,,,,0.666,1.900069
,,,,0.667,1.945616
,,,,0.668,1.820058
,,,,0.669,1.591532
,,,,0.67,1.215731
,,,,0.671,0.777171
,,,,0.672,0.224226
,,,,0.673,-0.35481
,,,,0.674,-0.88154
,,,,0.675,-1.35791
,,,,0.676,-1.74853
,,,,0.677,-2.0124
,,,,0.678,-2.05413
,,,,0.679,-1.93569
,,,,0.68,-1.66026
,,,,0.681,-1.28662
,,,,0.682,-0.8091
,,,,0.683,-0.26443
