Label,1hour@500°C ,,,Label,1hour@600°C ,,,Label,As-welded,
,,,,,,,,,,
Distance to weld interface (mm),Hardness (0.5 HV),Standard deviation,,Distance to weld interface (mm),Hardness (0.5 HV),Standard deviation,,Distance to weld interface (mm),Hardness (0.5 HV),Standard deviation
-0.402842463,392.9523367,4.50481126,,-0.494444227,379.1454476,5.860449128,,-0.198401238,372.7948319,5.101359507
-0.302023285,401.7263657,7.214185416,,-0.397829274,389.870727,10.31691673,,-0.101775205,378.7744856,3.066914713
-0.201344057,402.5877301,3.573082485,,-0.297589227,401.8683694,1.717170122,,0,447.4489194,4.930598472
-0.102511412,443.1429221,7.232401189,,-0.198854323,408.7381363,3.395711187,,0.09940318,436.534527,9.568205318
0,507.1280561,6.78197589,,-0.101006764,426.8648598,7.466639301,,0.200962335,420.7693968,6.082395871
0.099562617,504.1330135,4.954844752,,0,452.67893,3.129485467,,0.300824714,415.4646175,6.836922204
0.199755524,490.7032027,8.024419071,,0.100307458,439.378872,6.982250678,,0.402355954,399.1718709,7.070078516
0.300669237,482.7039042,4.412181955,,0.197746759,431.8246883,4.371222251,,0.503167698,382.0190854,4.514345714
0.400220965,480.4169197,4.976671276,,0.298283739,429.8799996,4.21404963,,0.603699203,371.5772865,6.430253048
0.500404522,469.9987712,8.646464286,,0.395994847,422.8907994,5.58042583,,0.703542726,367.8343928,4.720777836
0.601694074,451.6133417,6.219335263,,0.494273625,414.7772989,2.321555512,,0.8041751,355.8654052,4.125325897
0.70146322,444.4968035,7.216863429,,0.591633716,416.0480995,5.481662485,,0.902946059,354.4742575,6.794297432
0.801918272,446.7039473,8.335882916,,0.691687041,409.7104526,4.327950583,,1.002010533,346.314789,9.698139184
0.90214815,433.7653837,3.205164452,,0.791200481,401.7885332,9.282849838,,1.103648158,345.3978758,3.488830794
1.00321716,428.6011967,4.793244809,,0.890193556,394.7883482,5.759321847,,1.203820709,331.0357999,5.610095231
1.103049934,412.6126458,12.52363341,,0.989698897,374.0360707,4.417086001,,1.303571256,321.6660116,6.217722714
1.205594873,410.0500373,8.596399729,,1.088610775,381.6624395,10.62298288,,1.405737371,319.7910213,17.23482937
1.302737041,395.8682052,1.609890947,,1.190151566,362.8492622,7.446572697,,1.506917768,315.9305881,7.239912414
1.403542333,389.5388816,14.96977096,,1.290899204,355.8414953,2.381517985,,1.606750668,320.1574609,10.28564857
1.504100184,387.293993,14.53812584,,1.389165855,352.1610309,9.338299348,,1.708086122,322.5042821,6.311937084
1.705380969,382.8198844,12.47790431,,1.583316948,342.6030294,1.301576593,,1.906479241,317.5368364,6.390402282
1.905230154,372.9688353,2.963192401,,1.781692047,359.3604491,16.90991164,,2.106896596,329.3531237,7.468313373
2.106079686,365.7841244,3.802535614,,1.980816919,342.6140516,2.587565525,,2.306971297,338.2379115,9.087712243
2.306127981,354.8632739,1.366508805,,2.179823842,358.9210312,8.622673624,,2.509875323,347.4575608,10.15714545
2.50805174,352.0232738,4.904465328,,2.378105798,338.98705,3.81219056,,2.711539062,350.2188005,8.453373065
