Sample,473-1R,,,Sample,473-2R,,,Sample,473-4R,,,Sample,473-5R,,,Sample,473-7R,,,Sample,473-8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,Distance to the weld interface (mm),Hardness (HV 0.5),Hv_Std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,447.45,4.93,,0.00,445.85,6.91,,-0.20,386.98,6.62,,0.10,381.20,4.45,,-0.10,393.16,11.47,,0.20,379.15,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10,436.53,9.57,,0.10,437.18,9.02,,-0.10,420.13,15.36,,0.20,368.00,5.45,,0.00,415.49,20.34,,0.30,370.94,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20,420.77,6.08,,0.20,420.00,5.13,,0.00,439.39,7.44,,0.30,363.40,2.58,,0.10,389.65,7.15,,0.40,366.01,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30,415.46,6.84,,0.30,411.15,4.16,,0.10,435.14,6.73,,0.40,356.83,5.34,,0.20,378.85,6.88,,0.50,364.32,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40,399.17,7.07,,0.40,402.64,6.50,,0.20,414.99,11.23,,0.50,351.80,3.19,,0.30,365.39,4.45,,0.60,357.15,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.50,382.02,4.51,,0.50,380.43,5.91,,0.30,407.03,19.94,,0.60,348.33,6.18,,0.40,359.81,5.33,,0.70,343.08,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60,371.58,6.43,,0.60,380.43,5.77,,0.40,387.57,2.48,,0.70,338.60,1.02,,0.50,354.71,4.36,,0.80,349.03,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.70,367.83,4.72,,0.70,371.54,8.73,,0.50,382.05,6.10,,0.80,326.17,4.41,,0.60,343.56,4.39,,0.90,335.90,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.80,355.87,4.13,,0.80,361.76,3.30,,0.60,370.97,7.08,,0.90,321.40,2.24,,0.70,331.52,3.47,,1.00,324.42,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.90,354.47,6.79,,0.90,352.12,8.32,,0.70,358.41,8.06,,1.00,317.00,4.43,,0.80,328.04,6.98,,1.10,319.88,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,346.31,9.70,,1.00,354.23,8.24,,0.81,359.96,2.36,,1.10,307.60,5.75,,0.90,319.53,10.98,,1.20,315.40,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10,345.40,3.49,,1.10,339.91,4.60,,0.91,352.98,4.71,,1.20,305.67,1.70,,1.00,319.15,5.10,,1.30,308.64,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.20,331.04,5.61,,1.20,327.63,7.37,,1.01,339.03,5.90,,1.30,313.33,5.56,,1.10,314.27,6.01,,1.40,307.13,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.30,321.67,6.22,,1.30,339.16,9.52,,1.11,331.16,9.45,,1.40,306.00,2.45,,1.20,320.05,7.78,,1.50,317.45,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.41,319.79,17.23,,1.40,317.97,15.12,,1.21,331.04,5.61,,1.50,312.00,6.98,,1.30,327.61,6.70,,1.60,327.52,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.51,315.93,7.24,,1.50,318.33,5.37,,1.31,334.84,12.79,,1.60,331.67,3.77,,1.40,315.93,7.24,,1.70,322.51,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.61,320.16,10.29,,1.60,329.23,1.23,,1.41,325.17,9.95,,1.70,328.33,2.87,,1.50,325.11,8.45,,1.80,329.24,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71,322.50,6.31,,1.70,322.55,7.87,,1.51,335.48,6.94,,1.80,328.67,3.30,,1.60,324.97,3.17,,1.90,331.01,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.91,317.54,6.39,,1.91,317.59,8.00,,1.71,325.83,4.17,,2.00,338.33,8.18,,1.80,338.27,9.92,,2.10,337.42,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.11,329.35,7.47,,2.11,330.19,6.54,,1.91,344.85,13.63,,2.20,342.67,5.73,,2.01,337.22,5.55,,2.30,348.24,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.31,338.24,9.09,,2.31,333.67,5.68,,2.11,329.53,11.47,,2.40,338.33,1.25,,2.21,332.05,9.71,,2.51,352.28,11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.51,347.46,10.16,,2.51,357.99,9.89,,2.31,341.23,14.66,,2.60,346.67,6.80,,2.41,350.21,8.15,,2.71,348.43,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.71,350.22,8.45,,2.71,341.82,7.86,,2.51,346.09,18.20,,2.80,351.67,22.10,,2.61,352.00,3.57,,2.91,364.86,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.91,352.24,11.23,,2.91,342.79,9.47,,2.71,346.49,9.11,,3.00,337.00,7.48,,2.81,362.94,9.85,,3.11,355.84,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.11,347.59,12.91,,3.11,341.99,11.68,,2.91,353.90,1.37,,3.20,359.67,8.81,,3.01,363.79,5.15,,3.31,352.08,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.31,352.50,15.85,,3.31,359.02,11.15,,3.12,350.21,8.15,,3.40,348.67,6.55,,3.21,359.11,12.97,,3.51,363.89,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
